报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注
2月21日,湖北,天门市,15,0,0,湖北卫健委,https://wap.peopleapp.com/article/5185537/5086018?from=timeline&isappinstalled=0,,,2月19日订正
2月22日,阿联酋,,2,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIEsbvrICFVQfDljHI9l6c200222.shtml,,,
2月22日,山西,长治市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIU93ku09fgKR1ccx3OiZr200222.shtml,,,
2月22日,山西,晋城市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIU93ku09fgKR1ccx3OiZr200222.shtml,,,
2月22日,天津,宝坻区,1,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIJ8Ltnjxqri4HwojXgbne200222.shtml,,,
2月22日,湖南,湘西州,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIkBfbLk0bQgP1NsdCP8fl200222.shtml,,,
2月22日,新疆,巴音郭楞州,0,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTIDuLjXcEVI8WPDGw4qQic200222.shtml,,,
2月22日,美国,,19,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIBkv8M9wCSca9UsbsqaxP200222.shtml,,,
2月22日,加拿大,,1,3,0,央视,http://m.news.cctv.com/2020/02/22/ARTIJ1hWIogSn0PeguP1HrIh200222.shtml,,,
2月22日,重庆,万州区,3,9,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,开州区,1,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,巫溪县,1,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,江北区,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,九龙坡区,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,渝北区,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,合川区,0,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,綦江区,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,开州区,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,重庆,石柱县,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIfwZCzLZ5R8cSJuwQR2Ha200222.shtml,,,
2月22日,云南,昭通市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIcvU3fF1lfvuKjBJBQEUf200222.shtml,,,
2月22日,云南,文山州,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIcvU3fF1lfvuKjBJBQEUf200222.shtml,,,
2月22日,河北,石家庄市,1,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,河北,唐山市,0,3,0,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,河北,保定市,0,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,河北,邢台市,0,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,河北,邯郸市,0,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,河北,承德市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,河北,张家口市,0,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,河北,秦皇岛市,0,0,1,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,河北,廊坊市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTI4gHXsWqhznYWHgdbbtFm200222.shtml,,,
2月22日,黑龙江,哈尔滨市,0,20,0,央视,http://m.news.cctv.com/2020/02/22/ARTIz3eExeVZNNMGppAOWWCU200222.shtml,,,
2月22日,黑龙江,双鸭山市,0,5,0,央视,http://m.news.cctv.com/2020/02/22/ARTIz3eExeVZNNMGppAOWWCU200222.shtml,,,
2月22日,黑龙江,佳木斯市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIz3eExeVZNNMGppAOWWCU200222.shtml,,,
2月22日,黑龙江,鸡西市,0,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTIz3eExeVZNNMGppAOWWCU200222.shtml,,,
2月22日,黑龙江,齐齐哈尔市,0,6,0,央视,http://m.news.cctv.com/2020/02/22/ARTIz3eExeVZNNMGppAOWWCU200222.shtml,,,
2月22日,黑龙江,黑河市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIz3eExeVZNNMGppAOWWCU200222.shtml,,,
2月22日,广西,南宁市,1,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIwKsaZ8Jeo9ORTl9KxMfJ200222.shtml,,,
2月22日,广西,桂林市,1,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTIwKsaZ8Jeo9ORTl9KxMfJ200222.shtml,,,
2月22日,广西,河池市,1,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIwKsaZ8Jeo9ORTl9KxMfJ200222.shtml,,,
2月22日,广西,贺州市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIwKsaZ8Jeo9ORTl9KxMfJ200222.shtml,,,
2月22日,吉林,长春市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIDv6s4U0Zhmg1kTwUKzxO200222.shtml,,,
2月22日,吉林,公主岭市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIDv6s4U0Zhmg1kTwUKzxO200222.shtml,,,
2月22日,安徽,马鞍山市,1,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIOkB5UnVWEpE88OiHOkBG200222.shtml,,,
2月22日,福建,地市明细不详,0,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIoxhExL65P6y3JwVhi0RP200222.shtml,,,
2月22日,福建,厦门市,0,2,0,厦门卫健委,http://hfpc.xm.gov.cn/xwzx/tzgg/202002/t20200222_2423737.htm,,,
2月22日,内蒙古,巴彦淖尔市,0,3,0,央视,http://m.news.cctv.com/2020/02/22/ARTIdl9Jxftw7TmEgGK9UQGs200222.shtml,,,
2月22日,内蒙古,鄂尔多斯市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIdl9Jxftw7TmEgGK9UQGs200222.shtml,,,
2月22日,陕西,西安市,0,12,0,西安发布,http://xian.aiggfw.jdcloud.com/h5/illdate?scene=126&clicktime=1581694435,,,
2月22日,陕西,安康市,0,1,0,西安发布,http://xian.aiggfw.jdcloud.com/h5/illdate?scene=126&clicktime=1581694436,,,
2月22日,陕西,咸阳市,0,4,0,西安发布,http://xian.aiggfw.jdcloud.com/h5/illdate?scene=126&clicktime=1581694437,,,
2月22日,陕西,宝鸡市,0,1,0,西安发布,http://xian.aiggfw.jdcloud.com/h5/illdate?scene=126&clicktime=1581694438,,,
2月22日,陕西,榆林市,0,2,0,西安发布,http://xian.aiggfw.jdcloud.com/h5/illdate?scene=126&clicktime=1581694439,,,
2月22日,陕西,地市明细不详,0,3,0,西安发布,http://xian.aiggfw.jdcloud.com/h5/illdate?scene=126&clicktime=1581694440,暂未更新,,
2月22日,河南,信阳市,3,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIY7fjNCSA5z18uWYgDVag200222.shtml,,,
2月22日,河南,地市明细不详,0,7,0,央视,http://m.news.cctv.com/2020/02/22/ARTIY7fjNCSA5z18uWYgDVag200222.shtml,,,
2月22日,湖南,株洲市,1,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKzfBHr5B0O3UZZFRi7Sh200222.shtml,,,
2月22日,湖南,湘潭市,1,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKzfBHr5B0O3UZZFRi7Sh200222.shtml,,,
2月22日,湖南,长沙市,0,5,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKzfBHr5B0O3UZZFRi7Sh200222.shtml,,,
2月22日,湖南,邵阳市,0,2,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKzfBHr5B0O3UZZFRi7Sh200222.shtml,,,
2月22日,湖南,益阳市,0,3,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKzfBHr5B0O3UZZFRi7Sh200222.shtml,,,
2月22日,湖南,永州市,0,5,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKzfBHr5B0O3UZZFRi7Sh200222.shtml,,,
2月22日,湖南,娄底市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKzfBHr5B0O3UZZFRi7Sh200222.shtml,,,
2月22日,湖南,岳阳市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKzfBHr5B0O3UZZFRi7Sh200222.shtml,,,
2月22日,海南,海口市,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIB6D6B8EIbCMUP27vWUKR200222.shtml,,,
2月22日,海南,澄迈县,0,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIB6D6B8EIbCMUP27vWUKR200222.shtml,,,
2月22日,山东,泰安市,1,0,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,山东,济南市,0,4,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,山东,淄博市,0,1,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,山东,枣庄市,0,3,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,山东,烟台市,0,1,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,山东,泰安市,0,6,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,山东,威海市,0,2,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,山东,日照市,0,1,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,山东,聊城市,0,1,0,山东卫健委,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200222_2582373.html,,,
2月22日,四川,甘孜州,1,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIsiHZ6pQutsEr8QV6Tv6Y200222.shtml,,,
2月22日,澳大利亚,NA,2,0,0,央视,http://m.news.cctv.com/2020/02/22/ARTIBwr93QDh16hPYNOIcZ6k200222.shtml,,,
2月22日,上海,地市明细不详,0,0,1,央视,http://m.news.cctv.com/2020/02/22/ARTIlmyNlfgwRuxiuIOUYqOv200222.shtml,,,
2月22日,江苏,泰州市,,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKYTPjph4Dm7Qfk0LbD6X200222.shtml,,,
2月22日,江苏,镇江市,,1,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKYTPjph4Dm7Qfk0LbD6X200222.shtml,,,
2月22日,江苏,南京市,,5,0,央视,http://m.news.cctv.com/2020/02/22/ARTIKYTPjph4Dm7Qfk0LbD6X200222.shtml,,,
