province/country,city,province_eng,city_eng,country_eng
阿尔及利亚,,,,Algeria
阿富汗,,,,Afghanistan
阿联酋,,,,United Arab Emirates
阿曼,,,,Oman
阿塞拜疆,,,,Azerbaijan
埃及,,,,Egypt
爱尔兰,,,,Ireland
爱沙尼亚,,,,Estonia
安徽,安庆市,Anhui,Anqing,China
安徽,蚌埠市,Anhui,Bengbu,China
安徽,亳州市,Anhui,Bozhou,China
安徽,池州市,Anhui,Chizhou,China
安徽,滁州市,Anhui,Chuzhou,China
安徽,阜阳市,Anhui,Fuyang,China
安徽,合肥市,Anhui,Hefei,China
安徽,淮北市,Anhui,Huaibei,China
安徽,淮南市,Anhui,Huainan,China
安徽,黄山市,Anhui,Huangshan,China
安徽,六安市,Anhui,Lu'an,China
安徽,马鞍山市,Anhui,Ma'anshan,China
安徽,铜陵市,Anhui,Tongling,China
安徽,芜湖市,Anhui,Wuhu,China
安徽,宿州市,Anhui,Suzhou,China
安徽,宣城市,Anhui,Xuancheng,China
奥地利,,,,Austria
澳大利亚,,,,Australia
澳门,,Macau,,China
巴基斯坦,,,,Pakistan
巴林,,,,Bahrain
巴西,,,,Brazil
白俄罗斯,,,,Belarus
北京,昌平区,Beijing,Changping,China
北京,朝阳区,Beijing,Chaoyang,China
北京,大兴区,Beijing,Daxing,China
北京,地市明细不详,Beijing,city unspecified,China
北京,东城区,Beijing,Dongcheng,China
北京,房山区,Beijing,Fangshan,China
北京,丰台区,Beijing,Fengtai,China
北京,海淀区,Beijing,Haidian,China
北京,怀柔区,Beijing,Huairou,China
北京,境外输入,Beijing,from other countries,China
北京,门头沟区,Beijing,Mentougou,China
北京,密云区,Beijing,Miyun,China
北京,石景山区,Beijing,Shijingshan,China
北京,顺义区,Beijing,Shunyi,China
北京,通州区,Beijing,Tongzhou,China
北京,外地来京,Beijing,from other provinces,China
北京,西城区,Beijing,Xicheng,China
北京,延庆区,Beijing,Yanqing,China
北马其顿,,,,North Macedonia
比利时,,,,Belgium
冰岛,,,,Iceland
丹麦,,,,Denmark
德国,,,,Germany
多米尼加,,,,Dominica
俄罗斯,,,,Russia
厄瓜多尔,,,,Ecuador
法国,,,,France
菲律宾,,,,Philippines
芬兰,,,,Finland
福建,地市明细不详,Fujian,city unspecified,China
福建,福州市,Fujian,Fuzhou,China
福建,龙岩市,Fujian,Longyan,China
福建,南平市,Fujian,Nanping,China
福建,宁德市,Fujian,Ningde,China
福建,莆田市,Fujian,Putian,China
福建,泉州市,Fujian,Quanzhou,China
福建,三明市,Fujian,Sanming,China
福建,厦门市,Fujian,Xiamen,China
福建,漳州市,Fujian,Zhangzhou,China
甘肃,白银市,Gansu,Baiyin,China
甘肃,地市明细不详,Gansu,city unspecified,China
甘肃,定西市,Gansu,Dingxi,China
甘肃,甘南州,Gansu,Gannan,China
甘肃,金昌市,Gansu,Jinchang,China
甘肃,兰州市,Gansu,Lanzhou,China
甘肃,临夏州,Gansu,Linxia,China
甘肃,陇南市,Gansu,Longnan,China
甘肃,平凉市,Gansu,Pingliang,China
甘肃,庆阳市,Gansu,Qingyang,China
甘肃,天水市,Gansu,Tianshui,China
甘肃,张掖市,Gansu,Zhangye,China
格鲁吉亚,,,,Georgia
广东,潮州市,Guangdong,Chaozhou,China
广东,地市明细不详,Guangdong,city unspecified,China
广东,东莞市,Guangdong,Dongguan,China
广东,佛山市,Guangdong,Foshan,China
广东,广州市,Guangdong,Guangzhou,China
广东,河源市,Guangdong,Heyuan,China
广东,惠州市,Guangdong,Huizhou,China
广东,江门市,Guangdong,Jiangmen,China
广东,揭阳市,Guangdong,Jieyang,China
广东,茂名市,Guangdong,Maoming,China
广东,梅州市,Guangdong,Meizhou,China
广东,清远市,Guangdong,Qingyuan,China
广东,汕头市,Guangdong,Shantou,China
广东,汕尾市,Guangdong,Shanwei,China
广东,韶关市,Guangdong,Shaoguan,China
广东,深圳市,Guangdong,Shenzhen,China
广东,阳江市,Guangdong,Yangjiang,China
广东,湛江市,Guangdong,Zhanjiang,China
广东,肇庆市,Guangdong,Zhaoqing,China
广东,中山市,Guangdong,Zhongshan,China
广东,珠海市,Guangdong,Zhuhai,China
广西,百色市,Guangxi,Baise,China
广西,北海市,Guangxi,Beihai,China
广西,地市明细不详,Guangxi,city unspecified,China
广西,防城港市,Guangxi,Fangchenggang,China
广西,贵港市,Guangxi,Guigang,China
广西,桂林市,Guangxi,Guilin,China
广西,河池市,Guangxi,Hechi,China
广西,贺州市,Guangxi,Hezhou,China
广西,来宾市,Guangxi,Laibin,China
广西,柳州市,Guangxi,Liuzhou,China
广西,南宁市,Guangxi,Nanning,China
广西,钦州市,Guangxi,Qinzhou,China
广西,梧州市,Guangxi,Wuzhou,China
广西,玉林市,Guangxi,Yulin,China
贵州,安顺市,Guizhou,Anshun,China
贵州,毕节市,Guizhou,Bijie,China
贵州,贵阳市,Guizhou,Guiyang,China
贵州,六盘水市,Guizhou,Liupanshui,China
贵州,黔东南州,Guizhou,Qiandongnan,China
贵州,黔南州,Guizhou,Qiannan,China
贵州,黔西南州,Guizhou,Qianxinan,China
贵州,铜仁市,Guizhou,Tongren,China
贵州,遵义市,Guizhou,Zunyi,China
海南,保亭县,Hainan,Baoting,China
海南,昌江县,Hainan,Changjiang,China
海南,澄迈县,Hainan,Chengmai,China
海南,儋州市,Hainan,Danzhou,China
海南,地市明细不详,Hainan,city unspecified,China
海南,定安县,Hainan,Ding'an,China
海南,东方市,Hainan,Dongfang,China
海南,海口市,Hainan,Haikou,China
海南,乐东县,Hainan,Ledong,China
海南,临高县,Hainan,Lingao,China
