报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注
2020年1月11日,湖北,武汉市,41,2,1,武汉市卫健委,http://wjw.wuhan.gov.cn/front/web/showDetail/2020011109035,http://wjw.wuhan.gov.cn/front/web/showDetail/2020011109036,,
2020年1月12日,湖北,武汉市,0,4,0,武汉市卫健委,http://wjw.wuhan.gov.cn/front/web/showDetail/2020011209037,,,
2020年1月13日,湖北,武汉市,0,1,0,武汉市卫健委,http://wjw.wuhan.gov.cn/front/web/showDetail/2020011309038,,,
2020年1月16日,湖北,武汉市,0,5,1,武汉市卫健委,http://wjw.wuhan.gov.cn/front/web/showDetail/2020011609057,,,
2020年1月17日,泰国,,2,0,0,泰国公共卫生部,http://china.caixin.com/2020-01-17/101506051.html,,,
2020年1月18日,湖北,武汉市,4,3,0,武汉市卫健委,http://wjw.wuhan.gov.cn/front/web/showDetail/2020011809064,,,
2020年1月18日,日本,,1,1,0,武汉市卫健委、日本厚生劳动省,http://wjw.wuhan.gov.cn/front/web/showDetail/2020011809064,https://news.un.org/zh/story/2020/01/1049342,,
2020年1月19日,湖北,武汉市,17,4,0,武汉市卫健委,http://wjw.wuhan.gov.cn/front/web/showDetail/2020011909074,,,
2020年1月20日,北京,大兴区,2,0,0,北京市大兴区卫健委,https://m.weibo.cn/2703012010/4462638756717942,,,
2020年1月20日,北京,昌平区,2,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月20日,北京,外地来京,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月20日,广东,深圳市,1,0,0,深圳市卫健委,http://wjw.sz.gov.cn/gsgg/202001/t20200120_18987619.htm,,,
2020年1月20日,广东,深圳市,8,0,0,广东卫健委,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2876926.html,,,
2020年1月20日,广东,珠海市,3,0,0,珠海市卫健委,http://wsjkj.zhuhai.gov.cn/zwgk/tzgg/content/post_2461447.html,,,
2020年1月20日,广东,湛江市,1,0,0,广东卫健委,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2876926.html,https://www.zhanjiang.gov.cn/zjwjj/sy/gzdt/content/post_1031598.html,,
2020年1月20日,广东,惠州市,1,0,0,广东卫健委,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2876926.html,,,
2020年1月20日,湖北,武汉市,59,5,1,武汉市卫健委,http://wjw.wuhan.gov.cn/front/web/showDetail/2020012009077,,,
2020年1月20日,湖北,武汉市,77,1,1,武汉市卫健委,http://wjw.wuhan.gov.cn/front/web/showDetail/2020012009077,http://wjw.wuhan.gov.cn/front/web/showDetail/2020012109083,,
2020年1月20日,上海,外地来沪,1,0,0,国家卫建委,https://m.bjnews.com.cn/detail/157952141515817.html,,,
2020年1月20日,四川,成都市,0,0,0,成都市卫健委,http://cdwjw.chengdu.gov.cn/cdwjw/gzdt/2020-01/21/content_f2ee836ad4974586bf35c8fd6cae1d35.shtml,,,
2020年1月21日,广东,深圳市,1,0,0,广东卫健委,,,,
2020年1月21日,广东,珠海市,1,0,0,广东卫健委,,,,
2020年1月21日,广东,湛江市,1,0,0,广东卫健委,,,,
2020年1月21日,湖北,武汉市,60,0,2,国家卫生健康委,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtiKWrfC11DmFAFBMOROTOn200121&fromapp=cctvnews&version=803&allow_comment=1,https://m.thepaper.cn/newsDetail_forward_5588028,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200121_2013872.shtml,
2020年1月21日,湖北,黄冈市,12,0,0,湖北省卫生健康委员会,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200121_2013872.shtml,,,
2020年1月21日,上海,外地来沪,1,0,0,上海卫健委,http://wsjkw.sh.gov.cn/xwfb/20200121/8fa3da87b0014c9db1308c76cbfe835f.html,,,
2020年1月21日,上海,,4,0,0,上海市卫健委,http://wsjkw.sh.gov.cn/xwfb/20200121/8fa3da87b0014c9db1308c76cbfe835f.html,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtiKWrfC11DmFAFBMOROTOn200121&fromapp=cctvnews&version=803&allow_comment=1,https://m.thepaper.cn/newsDetail_forward_5586661?from=timeline&isappinstalled=0,
2020年1月21日,天津,,2,0,0,天津市卫健委,https://www.thepaper.cn/newsDetail_forward_5588085,,,
2020年1月21日,浙江,温州市,2,0,0,浙江省卫健委,https://www.zjwjw.gov.cn/art/2020/1/21/art_1202194_41786036.html,,,
2020年1月21日,浙江,杭州市,1,0,0,浙江省卫健委,https://www.zjwjw.gov.cn/art/2020/1/21/art_1202194_41786036.html,,,
2020年1月21日,浙江,舟山市,1,0,0,浙江省卫健委,https://www.zjwjw.gov.cn/art/2020/1/21/art_1202194_41786036.html,,,
2020年1月21日,浙江,台州市,1,0,0,浙江省卫健委,https://www.zjwjw.gov.cn/art/2020/1/21/art_1202194_41786036.html,,,
2020年1月21日,韩国,,1,0,0,韩国疾病管理本部,http://www.bjnews.com.cn/world/2020/01/21/677380.html,,,
2020年1月21日,台湾,,1,0,0,央视新闻,http://www.bjnews.com.cn/news/2020/01/21/677480.html,https://www.guancha.cn/politics/2020_01_22_532630.shtml,,
2020年1月21日,河南,郑州市,1,0,0,国家卫健委,https://www.thepaper.cn/newsDetail_forward_5588208,,,
2020年1月21日,香港,,0,0,0,央视新闻,http://news.ifeng.com/c/7tQ9Tf57plQ,,,
2020年1月21日,重庆,巫山县,2,0,0,国家卫健委,https://mbd.baidu.com/newspage/data/landingshare?pageType=1&isBdboxFrom=1&context=%7B%22nid%22:%22news_6619941147400162319%22%7D,,,
2020年1月21日,重庆,万州区,2,0,0,国家卫健委,https://mbd.baidu.com/newspage/data/landingshare?pageType=1&isBdboxFrom=1&context=%7B%22nid%22:%22news_6619941147400162319%22%7D,,,
2020年1月21日,重庆,长寿区,1,0,0,国家卫健委,https://mbd.baidu.com/newspage/data/landingshare?pageType=1&isBdboxFrom=1&context=%7B%22nid%22:%22news_6619941147400162319%22%7D,,,
2020年1月21日,四川,成都市,1,0,0,国家卫健委,https://m.bjnews.com.cn/detail/157961692015750.html,,,
2020年1月21日,北京,丰台区,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月21日,北京,海淀区,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月21日,北京,西城区,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
